image	concepts
8.jpg	house:0.996205449104,home:0.992386221886,family:0.991370916367,yard:0.991048395634,porch:0.990648567677,garden:0.981379270554,wood:0.978386461735,door:0.974911093712,entrance:0.971098482609,architecture:0.965480446815,no person:0.961861729622,property:0.945496737957,estate:0.942188739777,window:0.940778195858,lawn:0.936851739883,doorway:0.920313000679,exterior:0.916162490845,front:0.915070831776,building:0.908807754517,wooden:0.905329942703
9.jpg	house:0.998759746552,home:0.998355925083,family:0.995007276535,property:0.983913123608,no person:0.981683909893,porch:0.981289923191,architecture:0.979679405689,window:0.971725523472,door:0.970591425896,yard:0.970457673073,bungalow:0.964893758297,building:0.961595058441,real:0.958912193775,entrance:0.950921058655,estate:0.950284063816,residential:0.948160171509,wood:0.946411669254,exterior:0.945077359676,roof:0.944559752941,driveway:0.944136798382
10.jpg	house:0.99686396122,driveway:0.994853317738,family:0.993422687054,home:0.987672626972,suburban:0.986843526363,architecture:0.985826075077,yard:0.980358242989,property:0.980154812336,mortgage:0.976918280125,building:0.974942624569,upper:0.97436696291,upscale:0.974033474922,exterior:0.971786201,residential:0.970996975899,realty:0.970830440521,estate:0.969605982304,door:0.967991530895,suburb:0.965744376183,real:0.964890360832,residence:0.964190721512
4.jpg	home:0.996937155724,house:0.996569514275,family:0.990049600601,architecture:0.987432599068,no person:0.983340799809,suburban:0.961657881737,driveway:0.958595633507,yard:0.944321274757,suburb:0.942846357822,building:0.941561818123,mortgage:0.939772427082,door:0.936897277832,wood:0.933169186115,property:0.932192027569,realty:0.927655100822,residential:0.923221468925,porch:0.913288414478,upscale:0.907513260841,estate:0.906653821468,real:0.905673801899
5.jpg	house:0.996735870838,family:0.993743240833,wood:0.989647448063,home:0.983328342438,garden:0.982527196407,door:0.979552805424,yard:0.97277122736,porch:0.972532689571,entrance:0.952416479588,wooden:0.946449816227,architecture:0.944659531116,property:0.942899703979,window:0.942120492458,tree:0.938579618931,no person:0.919690072536,bungalow:0.913554489613,estate:0.909571349621,step:0.90695810318,guidance:0.906556725502,exterior:0.906010210514
7.jpg	home:0.998658657074,house:0.998335897923,family:0.991260826588,architecture:0.98891055584,porch:0.988206028938,suburban:0.97698444128,yard:0.976431846619,realty:0.976415812969,no person:0.971954762936,suburb:0.971172332764,building:0.970193684101,driveway:0.969678938389,property:0.964650332928,bungalow:0.962329626083,lawn:0.959156930447,mortgage:0.957147479057,window:0.948172688484,roof:0.947442948818,estate:0.944721341133,rate:0.93760073185
6.jpg	house:0.998519599438,home:0.997849464417,yard:0.996595919132,property:0.99278062582,family:0.992304384708,suburban:0.991276621819,driveway:0.987994849682,estate:0.983004927635,architecture:0.982487499714,suburb:0.981935024261,garden:0.981909275055,real:0.98018425703,mortgage:0.977153778076,lawn:0.976342499256,realty:0.974392235279,porch:0.973946392536,building:0.972442984581,brick:0.967189669609,residential:0.966082930565,residence:0.955164194107
2.jpg	house:0.994451701641,architecture:0.991227686405,family:0.989074885845,door:0.987417459488,window:0.979302108288,home:0.973349928856,porch:0.966529488564,luxury:0.951175391674,entrance:0.936744511127,doorway:0.93302077055,no person:0.921310126781,estate:0.921154916286,step:0.914798796177,wood:0.880134165287,patio:0.879344046116,balcony:0.877229750156,building:0.863324284554,real:0.855494081974,street:0.852082550526,property:0.845379710197
3.jpg	architecture:0.994963884354,home:0.994874179363,house:0.994859457016,family:0.993191421032,luxury:0.979274570942,no person:0.973042845726,building:0.952146232128,window:0.951043426991,suburban:0.950729846954,real:0.946183979511,suburb:0.94598543644,door:0.935435116291,wood:0.93336224556,residential:0.930662155151,driveway:0.922621250153,property:0.922353625298,upscale:0.921382367611,estate:0.916831016541,mortgage:0.916212081909,garage:0.914468705654
1.jpg	home:0.99792599678,house:0.99753510952,family:0.997344911098,architecture:0.992766499519,real:0.992393016815,driveway:0.992188215256,realty:0.990491330624,mortgage:0.990298628807,no person:0.989643216133,suburban:0.988276422024,suburb:0.984095454216,upscale:0.983671963215,estate:0.981374442577,lawn:0.980328023434,residential:0.979601740837,property:0.978533685207,roof:0.975899398327,yard:0.969550013542,door:0.965989351273,garage:0.964205801487
