image	concepts
8.jpg	furniture:0.998201727867,indoors:0.99803262949,contemporary:0.996254205704,room:0.995236098766,house:0.994390785694,family:0.993885934353,cabinet:0.992594659328,trading floor:0.991919994354,apartment:0.991061925888,stove:0.990415096283,inside:0.987077713013,home appliance:0.979794561863,stainless steel:0.974201917648,faucet:0.972529292107,interior design:0.972396492958,window:0.971811830997,luxury:0.968362212181,refrigerator:0.963698625565,table:0.962369561195,oven:0.955461084843
9.jpg	contemporary:0.998557269573,indoors:0.995271146297,interior design:0.991460561752,refrigerator:0.989702999592,family:0.989490807056,stove:0.982827544212,oven:0.976130723953,home appliance:0.973906934261,minimalist:0.971452414989,furniture:0.971140325069,apartment:0.969442665577,cabinet:0.967895507812,trading floor:0.965862631798,room:0.963470578194,spacious:0.956729948521,luxury:0.951827824116,stainless steel:0.946450471878,house:0.94591909647,microwave:0.94456666708,no person:0.938395380974
12.jpg	refrigerator:0.997645199299,stove:0.995774209499,family:0.995299577713,oven:0.994428992271,room:0.992025017738,house:0.988297641277,home appliance:0.981689333916,indoors:0.979725062847,inside:0.977448284626,furniture:0.977334856987,contemporary:0.974501550198,trading floor:0.974274396896,cabinet:0.972793996334,interior design:0.972672879696,window:0.971528112888,home:0.971452414989,microwave:0.967739284039,counter:0.964701592922,cupboard:0.964572906494,stainless steel:0.958168506622
11.jpg	stove:0.999381780624,oven:0.997851371765,refrigerator:0.997566580772,indoors:0.997496545315,home appliance:0.996379077435,stainless steel:0.99383187294,cabinet:0.986170172691,family:0.984402060509,faucet:0.980949342251,room:0.980321466923,counter:0.979993581772,house:0.978749930859,furniture:0.97789978981,contemporary:0.975938796997,microwave:0.970967292786,inside:0.966935813427,apartment:0.961537837982,cooker:0.959694266319,trading floor:0.940997302532,door:0.929306387901
10.jpg	family:0.995678603649,cabinet:0.993666231632,refrigerator:0.991523861885,indoors:0.991353929043,stove:0.990322947502,room:0.989422500134,interior design:0.988314390182,oven:0.987679302692,furniture:0.985872328281,home:0.983394086361,contemporary:0.97389626503,house:0.973796367645,drawer:0.973379194736,cupboard:0.967663288116,no person:0.936122000217,home appliance:0.910764575005,counter:0.906065583229,window:0.894342958927,trading floor:0.869691610336,microwave:0.865565419197
4.jpg	stove:0.998804211617,room:0.996665298939,oven:0.995812594891,house:0.995690524578,refrigerator:0.995518326759,furniture:0.993950247765,home appliance:0.993541479111,family:0.992851674557,indoors:0.991172492504,home:0.990672886372,interior design:0.985560953617,cabinet:0.984440684319,counter:0.984383702278,stainless steel:0.978413164616,kitchenware:0.975038707256,trading floor:0.974449634552,cupboard:0.970587730408,dishwasher:0.9669906497,contemporary:0.963973343372,microwave:0.957534432411
5.jpg	family:0.998202562332,stove:0.997961521149,refrigerator:0.996352672577,contemporary:0.993371605873,indoors:0.992688179016,oven:0.991787731647,cabinet:0.989263594151,no person:0.988632500172,room:0.985602974892,house:0.981845736504,stainless steel:0.979653894901,furniture:0.977800488472,home appliance:0.973480045795,interior design:0.972424447536,drawer:0.970267295837,inside:0.964399814606,cupboard:0.951527893543,microwave:0.941471815109,faucet:0.939396858215,counter:0.927811264992
7.jpg	stove:0.99760144949,house:0.99266910553,oven:0.990980088711,refrigerator:0.983333170414,room:0.982471883297,inside:0.982175290585,family:0.981921434402,home appliance:0.95294713974,cabinet:0.93897485733,apartment:0.938699364662,trading floor:0.929596364498,counter:0.918873131275,furniture:0.911480545998,stainless steel:0.911154031754,faucet:0.90809237957,cupboard:0.905121564865,home:0.90439838171,architecture:0.899608194828,window:0.891822397709,table:0.890981554985
6.jpg	stove:0.996795117855,family:0.993831396103,home:0.993575274944,furniture:0.991324782372,house:0.989141821861,oven:0.988403141499,indoors:0.98811763525,no person:0.987154245377,room:0.985478162766,cabinet:0.9811013937,refrigerator:0.978623151779,cupboard:0.970013618469,contemporary:0.969074487686,home appliance:0.965403556824,interior design:0.956880748272,wood:0.949911952019,counter:0.934210538864,window:0.895755052567,stainless steel:0.873166441917,door:0.872028052807
2.jpg	interior design:0.998196661472,contemporary:0.994663000107,indoors:0.99210691452,family:0.99190312624,home:0.990922033787,furniture:0.988729894161,stove:0.984758257866,room:0.983282148838,house:0.981600522995,cabinet:0.98048555851,oven:0.978140592575,luxury:0.976054430008,refrigerator:0.972312450409,no person:0.971662342548,table:0.954664885998,chair:0.950413048267,trading floor:0.938971579075,counter:0.93785828352,window:0.925011456013,apartment:0.920044541359
3.jpg	contemporary:0.998341560364,stove:0.997729480267,stainless steel:0.996725261211,home appliance:0.995885193348,furniture:0.995329618454,indoors:0.993769705296,family:0.99250715971,luxury:0.992417216301,refrigerator:0.990097045898,house:0.989329874516,apartment:0.988542675972,oven:0.985429763794,cabinet:0.983865082264,inside:0.982887089252,faucet:0.980866670609,counter:0.978595435619,room:0.976475596428,table:0.973704576492,microwave:0.970480561256,chair:0.9567502141
1.jpg	stove:0.998957276344,indoors:0.996365666389,stainless steel:0.99629253149,house:0.994545102119,home appliance:0.993889570236,oven:0.993071377277,furniture:0.992983698845,family:0.991727352142,counter:0.990932703018,cabinet:0.990610659122,faucet:0.99032074213,room:0.98607814312,contemporary:0.985955953598,luxury:0.981176733971,apartment:0.978749930859,refrigerator:0.977423727512,inside:0.975350677967,interior design:0.963569223881,window:0.962859034538,microwave:0.957943856716
