image	concepts
8806aaaf4265ca8b182277d6c2520768l-m7xd-w1020_h770_q80.jpg	indoors:0.997916162014,window:0.992730438709,interior design:0.987246751785,room:0.979210078716,contemporary:0.97735708952,empty:0.97658598423,family:0.974241256714,furniture:0.972370922565,house:0.969945549965,no person:0.969833850861,trading floor:0.965098023415,door:0.956198275089,home:0.948892354965,hallway:0.938753247261,apartment:0.935117065907,architecture:0.932447969913,ceiling:0.93040984869,rug:0.918032467365,luxury:0.915152907372,absence:0.90799421072
8806aaaf4265ca8b182277d6c2520768l-m2xd-w1020_h770_q80.jpg	city:0.994739115238,architecture:0.994708418846,modern:0.994065284729,office:0.993615031242,skyscraper:0.992270708084,building:0.985517442226,outdoors:0.984373450279,urban:0.97847121954,downtown:0.978197157383,business:0.978047192097,apartment:0.96883481741,cityscape:0.966852009296,tallest:0.966765642166,no person:0.966208994389,tree:0.959933996201,sky:0.958410203457,travel:0.957455635071,glass items:0.956353724003,street:0.95439183712,finance:0.946304798126
8806aaaf4265ca8b182277d6c2520768l-m8xd-w1020_h770_q80.jpg	indoors:0.998636782169,shelf:0.998491764069,wardrobe:0.997832000256,mirror:0.987844228745,bathroom:0.984962701797,cabinet:0.984624862671,furniture:0.983789503574,hanging:0.983703672886,absence:0.980661273003,room:0.973688721657,dressing room:0.97344481945,wood:0.96174031496,house:0.956957280636,interior design:0.953535437584,door:0.943863987923,luxury:0.932634711266,family:0.929977178574,clean:0.923726379871,bedroom:0.917321920395,empty:0.909077465534
8806aaaf4265ca8b182277d6c2520768l-m9xd-w1020_h770_q80.jpg	indoors:0.997015476227,contemporary:0.994017720222,stainless steel:0.993467152119,cabinet:0.993417143822,faucet:0.99243247509,family:0.990682244301,furniture:0.990159451962,bathroom:0.990080177784,counter:0.989935338497,stove:0.988859653473,oven:0.987643718719,room:0.986802637577,refrigerator:0.983539104462,trading floor:0.982935786247,cupboard:0.982549309731,house:0.977734267712,interior design:0.977376461029,luxury:0.976175069809,apartment:0.974752724171,home appliance:0.973902404308
8806aaaf4265ca8b182277d6c2520768l-m6xd-w1020_h770_q80.jpg	indoors:0.998310208321,room:0.99521034956,furniture:0.992986381054,house:0.990177333355,contemporary:0.987453043461,trading floor:0.987431645393,family:0.98457044363,empty:0.984302759171,window:0.982561826706,door:0.981251955032,apartment:0.979566514492,interior design:0.978355824947,luxury:0.961631000042,spacious:0.961318314075,rug:0.949937462807,architecture:0.94968444109,home:0.949544906616,wood:0.948553979397,parquet:0.946496069431,no person:0.945022881031
8806aaaf4265ca8b182277d6c2520768l-m3xd-w1020_h770_q80.jpg	architecture:0.992932319641,office:0.990246415138,modern:0.990110576153,city:0.989374756813,skyscraper:0.989243745804,outdoors:0.984408676624,sky:0.98365175724,glass items:0.982955694199,window:0.974963665009,apartment:0.973807096481,facade:0.971204161644,business:0.964635670185,tallest:0.963092207909,contemporary:0.960926175117,building:0.958516299725,cityscape:0.957810759544,no person:0.953893184662,horizontal plane:0.945168852806,downtown:0.927014172077,block:0.922218441963
8806aaaf4265ca8b182277d6c2520768l-m0xd-w1020_h770_q80.jpg	luxury:0.997680127621,house:0.983196258545,architecture:0.980799555779,window:0.971145391464,indoors:0.970158576965,mansion:0.950366854668,inside:0.949612677097,porch:0.94790238142,no person:0.944537460804,patio:0.941390037537,ceiling:0.933264732361,contemporary:0.923527061939,skylight:0.921987354755,modern:0.921984732151,chair:0.914426863194,family:0.913260996342,entrance:0.912958145142,estate:0.909964203835,step:0.9086561203,table:0.904792487621
8806aaaf4265ca8b182277d6c2520768l-m5xd-w1020_h770_q80.jpg	indoors:0.989047706127,inside:0.986139416695,room:0.978646695614,child:0.964445352554,school:0.961175143719,furniture:0.957572937012,trading floor:0.953576982021,chair:0.950467228889,table:0.944296419621,education:0.939771056175,seat:0.925074636936,toy:0.922106146812,shelf:0.913623034954,classroom:0.894757568836,empty:0.883520841599,exhibition:0.869381725788,window:0.869145572186,family:0.854711592197,color:0.839439868927,modern:0.830536186695
8806aaaf4265ca8b182277d6c2520768l-m1xd-w1020_h770_q80.jpg	luxury:0.995815336704,indoors:0.993741929531,architecture:0.989849448204,no person:0.985572397709,house:0.976378977299,family:0.963983118534,interior design:0.959554433823,patio:0.954792261124,porch:0.952090203762,window:0.947554826736,contemporary:0.945944905281,home:0.931862950325,mansion:0.931362807751,estate:0.930601537228,table:0.929723620415,furniture:0.927495181561,inside:0.924610495567,trading floor:0.920481562614,ceiling:0.917386114597,hotel:0.910049438477
8806aaaf4265ca8b182277d6c2520768l-m10xd-w1020_h770_q80.jpg	bathroom:0.997214734554,indoors:0.996963560581,inside:0.992156505585,faucet:0.991185724735,washcloset:0.990290820599,lavatory:0.981349825859,shower:0.98102748394,room:0.978822648525,bathtub:0.975286722183,trading floor:0.964954912663,house:0.960651636124,contemporary:0.958445012569,modern:0.958353161812,mirror:0.956754505634,family:0.946371436119,window:0.945511579514,no person:0.944132089615,luxury:0.931779325008,furniture:0.925455093384,clean:0.925114929676
8806aaaf4265ca8b182277d6c2520768l-m4xd-w1020_h770_q80.jpg	indoors:0.992878973484,room:0.989148080349,furniture:0.983970105648,trading floor:0.976407051086,chair:0.965836882591,inside:0.962574541569,exercise:0.958191037178,seat:0.957374453545,weight:0.950913846493,club:0.940206944942,treadmill:0.930955708027,hospital:0.9272108078,healthcare:0.910047829151,table:0.900823175907,equipment:0.898639678955,fitness:0.893694579601,no person:0.893297195435,medicine:0.890463888645,health:0.859406471252,mirror:0.858445644379
