image	description	categories	tags
0258770b8a219c0e75dfa0731f946b14l-m9xd-w1020_h770_q80.jpg	A close up of a sink	indoor_:0.38671875,others_:0.08203125	indoor:0.997535228729,bathroom:0.995127916336,wall:0.990989029408,toilet:0.949632287025,floor:0.921319365501,sink:0.719512939453
0258770b8a219c0e75dfa0731f946b14l-m3xd-w1020_h770_q80.jpg	A kitchen with a wood floor	abstract_:0.046875,indoor_room:0.36328125	indoor:0.997388780117,floor:0.989863932133,kitchen:0.989546716213,wall:0.975984811783,building:0.948964416981,ceiling:0.844954192638,wood:0.556258618832,appliance:0.507872402668,hard:0.259372889996,home:0.259372889996,flip:0.239335940195,property:0.226837843883,apartment:0.209566360422,parquet:0.134186181702,house:0.130845820783,interior:0.118221757665,design:0.0840959467458
0258770b8a219c0e75dfa0731f946b14l-m6xd-w1020_h770_q80.jpg	A room with a wooden floor	abstract_:0.0078125,indoor_doorwindows:0.5,others_:0.01171875	indoor:0.995147287846,building:0.981893420219,wall:0.980590581894,floor:0.970226705074,wood:0.34781524539,hard:0.293088555336,interior:0.293088555336,home:0.269972361232,stairs:0.217863302448,design:0.195513528419,apartment:0.151066582761,renovation:0.136207348897,door:0.124462403869,house:0.0999803110199,modern:0.0968188852493,remodel:0.0931034293918
0258770b8a219c0e75dfa0731f946b14l-m2xd-w1020_h770_q80.jpg		abstract_:0.015625,others_:0.02734375	indoor:0.993869006634,wall:0.982854485512,floor:0.904802441597,design:0.904802441597,art:0.518494837899,interior:0.282546695937
0258770b8a219c0e75dfa0731f946b14l-m7xd-w1020_h770_q80.jpg	A room with a wood floor	abstract_:0.0234375,indoor_room:0.42578125	floor:0.998986899853,indoor:0.998506605625,wall:0.994033873081,wood:0.788978815079,room:0.755749762058,ceiling:0.747204661369,hard:0.410720854998,design:0.410720854998,flip:0.222315926934,apartment:0.204727150717,interior:0.201598332323,home:0.171825039404,art:0.142336067594,kitchen:0.138057265518,mid:0.133184334035,stairs:0.118663282359
0258770b8a219c0e75dfa0731f946b14l-m8xd-w1020_h770_q80.jpg	A close up of a door	abstract_:0.0078125,others_:0.015625,outdoor_:0.00390625	indoor:0.991114854813,wall:0.988997578621,floor:0.434660822153,toilet:0.404605567455,step:0.228727787733,bathroom:0.115695543587,renovation:0.0420157495932,shower:0.036403066126,home:0.0278859498804
0258770b8a219c0e75dfa0731f946b14l-m4xd-w1020_h770_q80.jpg	A kitchen with a hard wood floor	abstract_:0.00390625,indoor_room:0.32421875,others_:0.00390625	indoor:0.999156832695,floor:0.999123990536,wall:0.996940493584,building:0.960718870163,ceiling:0.921712815762,wood:0.862555921078,kitchen:0.8586987257,wooden:0.801494777203,hard:0.635815143585,appliance:0.343273818493,stainless:0.322562336922,furniture:0.238888666034,apartment:0.238888666034,hotel:0.184191912308,home:0.113173658057,flip:0.0806098164329,house:0.078407382313,property:0.0783757549836,agent:0.0713990458866,parquet:0.066277734292,remodel:0.0661328986385,interior:0.0568541831139
0258770b8a219c0e75dfa0731f946b14l-m10xd-w1020_h770_q80.jpg	A tall red brick building	building_:0.7578125	building:0.999697685242,outdoor:0.985984385014,brick:0.957380831242,apartment building:0.773309588432,building material:0.307113647461,architecture:0.224100423757,window:0.140583535087,school:0.133086209172,apartment:0.103263940973,city:0.0994020532402,downtown:0.0937135102274,university:0.0800385537
0258770b8a219c0e75dfa0731f946b14l-m1xd-w1020_h770_q80.jpg	A room with a wooden floor	abstract_:0.01171875,indoor_doorwindows:0.59375	indoor:0.988880038261,floor:0.980800151825,wall:0.975311994553,wood:0.508529365063,design:0.508529365063,art:0.348658165484,mid:0.217658699633,kitchen:0.18428764836,cabinet:0.130305791071
0258770b8a219c0e75dfa0731f946b14l-m5xd-w1020_h770_q80.jpg	A white refrigerator freezer sitting inside of a kitchen	abstract_:0.0078125,indoor_room:0.69140625	cabinet:0.998783051968,indoor:0.983672678471,kitchen:0.966804862022,floor:0.954233646393,wood:0.316830605268,appliance:0.232952773571,kitchen appliance:0.11732570827,home:0.0260631660008,flip:0.0224683685716,remodel:0.0132404312405,bathroom:0.0125493165301
0258770b8a219c0e75dfa0731f946b14l-m0xd-w1020_h770_q80.jpg	A view of a hard wood floor	indoor_:0.58203125	floor:0.999384880066,indoor:0.997198224068,wall:0.988394260406,building:0.987337946892,wood:0.864767968655,hard:0.803469181061,ceiling:0.727292895317,home:0.727292895317,apartment:0.66355742984,hotel:0.427756526636,house:0.376085952968,parquet:0.262789540095,art:0.208907350222
